"Summary","Game_Id"
"No Recap Available","401265784"
"No Recap Available","401265785"
"No Recap Available","401265786"
"No Recap Available","401265787"
"No Recap Available","401265788"
"No Recap Available","401265789"
"No Recap Available","401265790"
"No Recap Available","401265791"
"No Recap Available","401265792"
"No Recap Available","401265833"
"No Recap Available","401265834"
"No Recap Available","401265835"
"No Recap Available","401265836"
"No Recap Available","401265837"
"No Recap Available","401265838"
"No Recap Available","401265839"
"No Recap Available","401265840"
"No Recap Available","401265841"
"No Recap Available","401265842"
"No Recap Available","401265843"
"No Recap Available","401265844"
"No Recap Available","401265845"
"No Recap Available","401265846"
"No Recap Available","401265847"
"No Recap Available","401265848"
