"Summary","Game_Id"
"No Recap Available","400889799"
"No Recap Available","400889800"
"No Recap Available","400889801"
"No Recap Available","400889802"
"No Recap Available","400889803"
"No Recap Available","400889804"
"No Recap Available","400889805"
"No Recap Available","400889806"
"No Recap Available","400889807"
"No Recap Available","400889808"
"No Recap Available","400889809"
"No Recap Available","400897108"
"No Recap Available","400897109"
"No Recap Available","400897111"
"No Recap Available","400897112"
"No Recap Available","400897114"
"No Recap Available","400897116"
"No Recap Available","400897293"
"No Recap Available","400897294"
"No Recap Available","400897295"
"No Recap Available","400897296"
"No Recap Available","400897297"
"No Recap Available","400897298"
"No Recap Available","400897299"
"No Recap Available","400898738"
"No Recap Available","400898739"
"No Recap Available","400898740"
"No Recap Available","400898741"
"No Recap Available","400898742"
"No Recap Available","400898743"
"No Recap Available","400898744"
"No Recap Available","400898745"
"No Recap Available","400898746"
"No Recap Available","400898747"
"No Recap Available","400898748"
"No Recap Available","400898749"
"No Recap Available","400899094"
"No Recap Available","400899095"
"No Recap Available","400899096"
"No Recap Available","400899097"
"No Recap Available","400899098"
"No Recap Available","400899099"
"No Recap Available","400899100"
"No Recap Available","400899101"
"No Recap Available","400899102"
"No Recap Available","400899103"
"No Recap Available","400899104"
"No Recap Available","400899105"
"No Recap Available","400899106"
"No Recap Available","400899107"
"No Recap Available","400899108"
"No Recap Available","400899109"
"No Recap Available","400899160"
"No Recap Available","400899161"
"No Recap Available","400899162"
"No Recap Available","400899163"
"No Recap Available","400899170"
"SHANGHAI -- James Harden had 26 points and 15 assists and Eric Gordon went 5 for 10 from three-point range to help lead the Houston Rockets to a 123-117 win over the New Orleans Pelicans in a preseason exhibition game in Shanghai, China on Sunday night. E'Twaun Moore led the scoring for the Pelicans with 25 and netted all four of his three point attempts, while Anthony Davis added another 23 points. The score was close for much of the game, with Houston leading 68-65 at halftime. Harden, who is developing a devoted following in China, also went 11 for 12 from the free throw line and racked up seven rebounds. Gordon added another 24 points, while the Pelicans' center Omer Asik led both teams in rebounds with 14. — Donovan Mitchell had 23 points, seven rebounds and six assists as the Utah Jazz routed the Golden State Warriors 127-108 on Saturday night for their eighth straight victory. Jae Crowder gets the ball in the final seconds of overtime and connects on a 3-pointer to extend the game.","400899171"
