"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","43006362",2020,6.25,6,3,193,1988-03-14,"2009","1","7","GS"
"3468","russell-westbrook","Russell Westbrook","PG","WSH","washington-wizards","Washington Wizards","41358814",2020,6.25,6,3,200,1988-11-12,"2008","1","4","SEA"
"2779","chris-paul","Chris Paul","PG","PHX","phoenix-suns","Phoenix Suns","41358814",2020,6.08333333333333,6,1,175,1985-05-06,"2005","1","4","NO"
"4237","john-wall","John Wall","PG","HOU","houston-rockets","Houston Rockets","41254920",2020,6.33333333333333,6,4,210,1990-09-06,"2010","1","1","WSH"
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","41254920",2020,6.41666666666667,6,5,220,1989-08-26,"2009","1","3","OKC"
"3202","kevin-durant","Kevin Durant","SF","BKN","brooklyn-nets","Brooklyn Nets","40108950",2020,6.83333333333333,6,10,225,1988-09-29,"2007","1","2","SEA"
"1966","lebron-james","LeBron James","SF","LAL","los-angeles-lakers","Los Angeles Lakers","39219565",2020,6.75,6,9,250,1984-12-30,"2003","1","1","CLE"
"3989","blake-griffin","Blake Griffin","PF","DET","detroit-pistons","Detroit Pistons","36810996",2020,6.83333333333333,6,10,250,1989-03-16,"2009","1","1","LAC"
"4251","paul-george","Paul George","SG","LAC","la-clippers","LA Clippers","35450412",2020,6.66666666666667,6,8,220,1990-05-02,"2010","1","10","IND"
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","35361360",2020,6.5,6,6,215,1990-02-08,"2011","1","11","GS"
"3195","mike-conley","Mike Conley","PG","UTAH","utah-jazz","Utah Jazz","34502130",2020,6.08333333333333,6,1,175,1987-10-11,"2007","1","4","MEM"
"6430","jimmy-butler","Jimmy Butler","SF","MIA","miami-heat","Miami Heat","34379100",2020,6.58333333333333,6,7,230,1989-09-14,"2011","1","30","CHI"
"6450","kawhi-leonard","Kawhi Leonard","SF","LAC","la-clippers","LA Clippers","34379100",2020,6.58333333333333,6,7,225,1991-06-29,"2011","1","15","IND"
"6479","kemba-walker","Kemba Walker","PG","BOS","boston-celtics","Boston Celtics","34379100",2020,6,6,0,184,1990-05-08,"2011","1","9","CHA"
"6440","tobias-harris","Tobias Harris","SF","PHI","philadelphia-76ers","Philadelphia 76ers","34358850",2020,6.66666666666667,6,8,228,1992-07-15,"2011","1","19","CHA"
"6609","khris-middleton","Khris Middleton","SF","MIL","milwaukee-bucks","Milwaukee Bucks","33051724",2020,6.58333333333333,6,7,217,1991-08-12,"2012","2","39","DET"
"6583","anthony-davis","Anthony Davis","PF","LAL","los-angeles-lakers","Los Angeles Lakers","32742000",2020,6.83333333333333,6,10,253,1993-03-11,"2012","1","1","NO"
"6442","kyrie-irving","Kyrie Irving","PG","BKN","brooklyn-nets","Brooklyn Nets","31742000",2020,6.16666666666667,6,2,199,1992-03-23,"2011","1","1","CLE"
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","31626953",2020,6.16666666666667,6,2,195,1990-07-15,"2012","1","6","POR"
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","31258256",2020,6.66666666666667,6,8,247,1988-09-07,"2008","1","5","MEM"
"3149673","pascal-siakam","Pascal Siakam","PF","TOR","toronto-raptors","Toronto Raptors","30559200",2020,6.75,6,9,230,1994-04-02,"2016","1","27","TOR"
"3907387","ben-simmons","Ben Simmons","PG","PHI","philadelphia-76ers","Philadelphia 76ers","30559200",2020,6.83333333333333,6,10,240,1996-07-20,"2016","1","1","PHI"
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","30500000",2020,6.08333333333333,6,1,196,1986-03-25,"2006","1","24","MEM"
"2991235","steven-adams","Steven Adams","C","NO","new-orleans-pelicans","New Orleans Pelicans","29592696",2020,6.91666666666667,6,11,265,1993-07-20,"2013","1","12","OKC"
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","29542010",2020,7,7,0,280,1994-03-16,"2014","1","3","PHI"
"3059319","andrew-wiggins","Andrew Wiggins","SF","GS","golden-state-warriors","Golden State Warriors","29542010",2020,6.58333333333333,6,7,205,1995-02-23,"2014","1","1","CLE"
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","Denver Nuggets","29542010",2020,7,7,0,284,1995-02-19,"2014","2","41","DEN"
"3136193","devin-booker","Devin Booker","SG","PHX","phoenix-suns","Phoenix Suns","29467800",2020,6.41666666666667,6,5,206,1996-10-30,"2015","1","13","PHX"
"3136195","karl-anthony-towns","Karl-Anthony Towns","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","29467800",2020,7,7,0,250,1995-11-15,"2015","1","1","MIN"
"3102531","kristaps-porzingis","Kristaps Porzingis","F","DAL","dallas-mavericks","Dallas Mavericks","29467800",2020,7.25,7,3,240,1995-08-02,"2015","1","4","NY"
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","29354152",2020,6.25,6,3,190,1991-09-19,"2013","1","10","POR"
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","28751775",2020,6.25,6,3,207,1993-06-28,"2012","1","3","WSH"
"6585","andre-drummond","Andre Drummond","C","CLE","cleveland-cavaliers","Cleveland Cavaliers","28751775",2020,6.91666666666667,6,11,279,1993-08-10,"2012","1","9","DET"
"3136776","d'angelo-russell","D'Angelo Russell","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","28649250",2020,6.33333333333333,6,4,193,1996-02-23,"2015","1","2","LAL"
"4249","gordon-hayward","Gordon Hayward","SF","CHA","charlotte-hornets","Charlotte Hornets","28500000",2020,6.58333333333333,6,7,225,1990-03-23,"2010","1","9","UTAH"
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","CHI","chicago-bulls","Chicago Bulls","28489237",2020,6.66666666666667,6,8,228,1993-06-03,"2013","1","3","WSH"
"3978","demar-derozan","DeMar DeRozan","SG","SA","san-antonio-spurs","San Antonio Spurs","27739975",2020,6.58333333333333,6,7,220,1989-08-07,"2009","1","9","TOR"
